ID,Story,RaterMean
115,"She just received another letter from her secret admirer, it sure brightens up her day when she receives one of these letters. For each letter she has received, she has written one to her admirer, but she has no where to send them. She has scoured over the envelopes, looking for a clue, the stamp has no unusual markings, the postmark is smudged. she is just at a loss. She is hoping that one day her secret admirer will come forward and she will be able to hand over the letters she wrote to them, but until then all she can do is just enjoy the fact that someone loves her from a far.",4.25
116,"My father was always old fashioned and to this day has never sent an e-mail or a text in his life.  As a child, he showed me how people originally communicated using a letter and a stamp, which today is something of a relic to many.  I have grown to love technology, but I still appreciate what a letter and stamp represent thanks to my father.  Rather than send an e-mail that takes a few seconds, my father is willing to wait days and days to get a response from sending a letter just because that was how he was raised.",3.25
117,"John has recently received a letter from his cousin Joey. Touched at the old school gesture, John decided to write back. He went out and bought some festive stamps for the letter before heading over to the post office. He wanted to send a reply back as soon as he could for his dear cousin was waiting.",2.5
118,"He was going to send it.  He knew he was taking a chance, the letter told the horrible truth of what he had done.  Put the guilt nagged at him and he wanted the release of confessing.  He had finally found a stamp and now there was nothing to stop him putting it in the mail box.",3.25
119,"The little girl woke up and realized that Christmas was only 3 weeks away, which is her favorite day of the year.  She knew she was a good girl but wanted to make sure Santa knew this.  She asked her mother for Santa's address, so she could write a letter to him.  She wrote the letter, put a stamp on the envelope, and asked her mother to send the mail to Santa just in time for Christmas Day.",3
120,"I used to have a pen pal when I was younger. I would sit down once a week and write a letter, put a stamp on the envelop and send the letter off to someone who I didn't know very well. After some time of writing letters back and forth, my pen pal and I became good friends. Now, instead of writing letters, we call each other on the phone and are still friends to this day.",2.5
121,"Rachel lost her last baby tooth. She really wanted some extra money for this tooth. She decided to write a letter to the tooth fairy. It said: Dear Tooth Fairy, I love you! Can I please have 100 dollars? Love Rachel. She asked her mom for a stamp and envelope and asked her to send it to the tooth fairy to her. The next day when she came home from school There was a letter waiting for her. It said Dear Rachel, Hell no! Here is your 1 dollar. PS. Get a damn job.",4.5
122,"It had been so long since we had visited family. I suggested to my son that we mail a letter to his grandma. This would be a fun way for us to spend our afternoon and the family would surely appreciate it too. We sat at the table together and I gave my son some paper and an envelop. When he was done writing, he folder the paper into the envelop and I showed him how to lick the stamp and attach it. He was so eager to drop it in the mailbox to send to his grandma.",2.75
123,"The swan decided to send a letter to his old friend the goose. They used to hang out together and glide for hours side by side on the shiny surface of the lake. But the goose had left for the winter and would not be back for a while. The swan clumsily walked out of the water and retrieved some paper, a pencil, and a stamp he had stashed under a rock for such an occasion. Then he sat on the beach and wrote his letter.",4.5
124,"It was her mother's birthday coming up soon. She decided she rather send a card to her than the usual text message. But not having sent anything through the mail in a while, she had to go buy a stamp in order to send the letter. She had the perfect card chosen out and a heartfelt letter in the card. All left to do was to send it out.",2.25
125,He decided to send a letter to Santa letting Santa know what he wanted for Christmas. He spent a long time getting everything just right. Then he put it in the mail. On Christmas Eve he received the letter back undelivered because he forgot to put a stamp on it.,2.25
126,The young boy wanted to collect box tops to earn a reward from his cereal box. He collected five tops and wrote a letter to send with them. He found a stamp from his mother. He was able to send the stuff and get a fun toy.,3.25
127,"Billy needed to send his mother a birthday card today, because he had forgotten it last week.  He went to the local post office and grabbed a stamp so he could mail the card.  He also decided that he was going to include a nice letter in the card as well, detailing how much he cared for his mother, and how sorry he was that he forgot her birthday.  He had a lot going on the week before, but that was no excuse for forgetting you mom's birthday!  He was going to make up for it!",3
128,"Michael needed to respond to the invitation as soon as possible if he was to be guaranteed a spot, but he did not know how to go about getting it done in secret. He received the letter of acceptance last week and the time was ticking. To send the response was going to be difficult as he did not have access to a car or money to buy a stamp. Michael decided he would have to find someone he could trust that would do it all for him.",3.75
129,"Bruno wanted to send a letter to his grandma in Kentucky. She lived alone and he thought it would be exciting for her to get a letter. After going to the post office to get a stamp, he sent out the letter. He hoped to get a response soon.",2
130,"The little girl placed her stamp on the letter. ""I hope Santa responds this year"", she said with a little hope in her voice. It was time to send the letter. To her surprise, her Mom told her there was a letter addressed to her that arrived the very next day. ""Dear Little Girl: Be sure to leave out some milk and cookies on Christmas Eve, and in exchange your Christmas wish will come true."" Upon reading the reply letter from Santa, shocked, little girl gasped in delight.",3.5
131,"Michael finally made up his mind. He'd run the risk of embarrasment, of outright rejection, by writing the girl whose words had so captivated him two summers ago. He carefully chose each word, especially those surrounding why he was choosing to send a letter after so long, and balancing his yen for restarting a relationship with the desire to to seem so eager. After an hour, he sealed an envelope, and found a stamp in the bottom of a drawer. But then disaster struck -- he had discarded all the envelopes Kayyllee's letters came in, and had not written her address down anywhere!",3.75
132,"Marry was working as a secretary and on everyday at her job she had to get certain papers stamped. Also she had to send letters and emails. She was very organized and her boss was very pleased with her work. He decided that was the right time to promote her, because she did such a great job. She will soon hear the great news about her job.",3.25
133,A princess was in a castle. She was pining for her lost love. She heard he may have come into town a few days ago. She put a stamp on a letter and decided to send it to her love. She was so happy to hear news of him. She gave the letter to her favorite elf and he scurried into town. The handsome prince got the letter and immediately went to see her. They sang Disney songs for the rest of the week each day and told of their love of one another.,4.75
134,There was a little troll who worked at the post office. He was in charge of selling stamps at the counter for letters to send to everywhere in the world. One day the little troll found a magical stamp that would print without ink. The little troll saved the department a lot of money for ink and he worked there for a long time.,4.75
135,"One day, out of frustration with timed survey pages, I decided to send a letter to requesters who use unnecessarily long timers on survey pages.  I grabbed a piece of paper, and wrote on it about how frustrating it is to be forced to spend 24 minutes minimum on a task that I could easily complete in 10-15 minutes.  I stuffed the letter in an envelope and put a stamp on it.  I dropped it in the mailbox and began eagerly awaiting a reply.",2.75
136,"As I prepared to send the letter to Hogwarts, I realized there was a small problem. I had no idea whether wizards use stamps. Should I tape a small dead rat to the letter as a stamp to feed the owl? Should I wave a wand over the envelope? Perhaps, I thought, it would be better to learn to fly on the broom in my closet so that I could deliver the letter myself.",4
137,"He had cut out all the letters and arranged them into their proper order.  ""If you want to see your child again, you'll need to pay me $500,000,"" it read, along with instructions on where to drop the money.  He then put the ransom letter into an envelope, wrote out the address, attached a stamp, and put it in his outbox to send the next day.  ""Wait a minute,"" he said to himself as he reached for the envelope to inspect it.  ""I wrote my real return address on this.""   He felt like a real knucklehead when he realized he was going to have to do this all again.",5
138,I was thinking of a long-lost friend.  I decided to write them a letter to reach out and catch up on recent happenings.  I wrote my letter and put it in an envelope and placed a stamp on the envelope.  I then took the letter to the post office because I wanted to send it to my friend immediately.,1.75
139,"The politician was finishing the last touches on his letter to Exxon. He sealed up the envelope and gave it a stamp. As he rose up from his seat he began to dance walk towards the door to his office. He opened the door and a woman was standing there and asked, ""did I hear you singing, senator?"" ""Yes, I am finishing my letter and will require you to send it for me""",3.5
140,"The mailing workers were busy this week picking up letters. Sometimes a letter would be missing a stamp and then the workers would place one of their own on the letter. Then the letters were all ready to send. And by the end of the work day, they had picked up about 1000 letters. ""Phew"", thought the mailman. ""We have picked up so many letters today!"" He wiped the sweat from his forehead and took a big swig of water.",3
141,"I am going to put a stamp on this letter before I send it out.  It is to a brother that I lost a long time ago. I am sending it to a house that doesn't exit. It is my final way to say bye, as I send it out I think. Better times, great quality, love, life.",2.5
142,"She put the stamp on the letter, debating. Should she send it? Her old sweetheart hadn't seen her in fifty years. Would he even remember her? Was it even possible? But as she put the letter in the mailbox, she saw one postmarked to her: it was her old sweetheart, writing to her.",4.25
143,"Nancy had to go to the store . She needed to get a stamp for a letter , she was sending to her mother . She hadn't written to her mother in weeks . She missed her .",1.5
144,Today I had received a letter in the mail from my friend fighting in the war overseas. I read it intensely and garbed some paper to wright him back . After I had wrote my letter back to him I sealed up the envelope and put a stamp on the outside. After I made sure I had applied the right postage to the envelope I went to the post office. I dropped the letter in the mail box so it would send. I look forward to the next letter that I receive from my friend.,2.75
145,"I found an envelope for my letter.  It was a little oversized, but I used it anyway.  I put a stamp on it.  I wanted to send it so I put the address on it and went to the post office.  To make sure it would go out that day I put it in the drop box that was there.  I felt accomplished because I finally wrote my friend back.",1.75
146,"I knew I had to get the most important letter of my life to the post office. I had to send it to the Registrar of Voters. I wanted to add a stamp, I didn't trust the franked envelope, I wouldn't risk it.  I only had an hour until the Post Office closed, I must hurry. My vote could be the one to win it for my candidate.",3.25
147,"i had to send a letter to my long-lost relative.  after i finished it, i realized that i didn't have a stamp.  i took the letter with me to my post office, and i bought a stamp at the same time.  with that done, i could send the letter off.  hope my relative likes my letter!",1.75
148,Our daughter knew Santa was coming soon and she wanted to write a convincing letter for why she deserved these toys. She had her parents look over her handy work to check for errors. She also wanted their honest opinion on how it sounded. She would send the letter with a stamp and send to Santa at the North Pole. She was super pumped for Saint Nick to read what she wrote.,3
149,This letter need to go in the mail today.  She racked her brain in at attempt to remember where she had put the stamp she had  set aside for this letter.  She knew that once she was able to send this letter a load would be lifted from her shoulders.  First she needed to find that stamp.,2
150,The letter I mailed last week was returned in the mail today. I had forgot to put a stamp on the letter when I mailed it. I really need to send this letter today. I will go to the post office after lunch and buy a stamp.,1.75
151,I wrote my letter to my penpal later that afternoon. I swear i put a stamp on it.I new the time of day it got sent as well. The post office is saying i did not send the letter in at all. They never recieved it so now i have to redo it over again and repay another fee. This sucks.,2
152,"The candle flicks around the flame, dim and bright. Janice, staring pensively into the window, sighs and laments her past failures. So she decides to write the letter to her brother from far away. When she is ready to send it, she hopes to relieve her guilt. The stamp used is already picked out; it is a sticky of the American flag and the eagle. She hopes her message reaches him in the old country, just to let him know that she'll be alright",3.5
153,"I needed to send a letter to my pen pal. It would be easier to just type an email and hit the send button, but I think it's more fun to use a stamp and envelope. Plus, it is fun to go to the post office and pick out special stamps. Last time I was there, I got some special holiday stamps for my Christmas cards.",2
154,"I have 10 stamps to send gifts to the 10 people I love most in life. Now I have to write letters to all of them. You know, I think I'll send myself instead! That would be creative!",3.5
155,"Gone are the days when we sent letters in the mail to our near or distant relatives and friends. I remember when I was a teenager that I had a pen pal in another country. I used to beg my Mom for some stamps, so I can send my pen pal a note to let her know I was thinking about her. I would sometimes look for change on the street, in the sofa, in my Dad's car, or in the parking lots to find 20 cents. The price of stamps has increased over the years, and I still send cards to family but not many letters. That was a simpler time when we used to send letters. Now there is email...no stamps required.",3.5
156,"I received a letter in the mail from a friend who lives across the country. This friend loves to send letters the old fashioned way. They find it to be more personable, I guess. I love to write back in the same manner and I know she loves to get letters in the mail. I just wrote her a long letter back on some fancy stationary that I have, put it in the matching envelope, and put a stamp on it. I will send it out with today's mail.",2.5
